INFO d.d.t.SimpleTagger [SimpleTagger.java:77] *** Starting Tagger ***
INFO d.d.t.SimpleTagger [SimpleTagger.java:154] tagging file ./gov/nist/javax/sip/header/ims/PMediaAuthorizationHeader.java 
INFO d.d.t.SimpleTagger [SimpleTagger.java:154] tagging file ./gov/nist/javax/sip/header/ims/PChargingFunctionAddressesHeader.java 
INFO d.d.t.SimpleTagger [SimpleTagger.java:154] tagging file ./gov/nist/javax/sip/header/ims/PathHeader.java 
INFO d.d.t.SimpleTagger [SimpleTagger.java:154] tagging file ./gov/nist/javax/sip/header/ims/PPreferredIdentity.java 
INFO d.d.t.SimpleTagger [SimpleTagger.java:154] tagging file ./gov/nist/javax/sip/header/ims/SecurityClient.java 
INFO d.d.t.SimpleTagger [SimpleTagger.java:154] tagging file ./gov/nist/javax/sip/header/ims/PServedUserHeader.java 
INFO d.d.t.SimpleTagger [SimpleTagger.java:154] tagging file ./gov/nist/javax/sip/header/ims/PPreferredService.java 
INFO d.d.t.SimpleTagger [SimpleTagger.java:154] tagging file ./gov/nist/javax/sip/header/ims/PMediaAuthorizationList.java 
INFO d.d.t.SimpleTagger [SimpleTagger.java:154] tagging file ./gov/nist/javax/sip/header/ims/SecurityServer.java 
INFO d.d.t.SimpleTagger [SimpleTagger.java:154] tagging file ./gov/nist/javax/sip/header/ims/PPreferredServiceHeader.java 
INFO d.d.t.SimpleTagger [SimpleTagger.java:154] tagging file ./gov/nist/javax/sip/header/ims/SIPHeaderNamesIms.java 
INFO d.d.t.SimpleTagger [SimpleTagger.java:154] tagging file ./gov/nist/javax/sip/header/ims/SecurityVerifyList.java 
INFO d.d.t.SimpleTagger [SimpleTagger.java:154] tagging file ./gov/nist/javax/sip/header/ims/PAssertedIdentityHeader.java 
INFO d.d.t.SimpleTagger [SimpleTagger.java:154] tagging file ./gov/nist/javax/sip/header/ims/PAccessNetworkInfoHeader.java 
INFO d.d.t.SimpleTagger [SimpleTagger.java:154] tagging file ./gov/nist/javax/sip/header/ims/Privacy.java 
INFO d.d.t.SimpleTagger [SimpleTagger.java:154] tagging file ./gov/nist/javax/sip/header/ims/PProfileKeyHeader.java 
INFO d.d.t.SimpleTagger [SimpleTagger.java:154] tagging file ./gov/nist/javax/sip/header/ims/PAssertedService.java 
INFO d.d.t.SimpleTagger [SimpleTagger.java:154] tagging file ./gov/nist/javax/sip/header/ims/SecurityAgreeHeader.java 
INFO d.d.t.SimpleTagger [SimpleTagger.java:154] tagging file ./gov/nist/javax/sip/header/ims/PAccessNetworkInfo.java 
INFO d.d.t.SimpleTagger [SimpleTagger.java:154] tagging file ./gov/nist/javax/sip/header/ims/WWWAuthenticateHeaderIms.java 
INFO d.d.t.SimpleTagger [SimpleTagger.java:154] tagging file ./gov/nist/javax/sip/header/ims/PUserDatabase.java 
INFO d.d.t.SimpleTagger [SimpleTagger.java:154] tagging file ./gov/nist/javax/sip/header/ims/PVisitedNetworkIDHeader.java 
INFO d.d.t.SimpleTagger [SimpleTagger.java:154] tagging file ./gov/nist/javax/sip/header/ims/PPreferredIdentityHeader.java 
INFO d.d.t.SimpleTagger [SimpleTagger.java:154] tagging file ./gov/nist/javax/sip/header/ims/SecurityAgree.java 
INFO d.d.t.SimpleTagger [SimpleTagger.java:154] tagging file ./gov/nist/javax/sip/header/ims/PathList.java 
INFO d.d.t.SimpleTagger [SimpleTagger.java:154] tagging file ./gov/nist/javax/sip/header/ims/PAssociatedURIHeader.java 
INFO d.d.t.SimpleTagger [SimpleTagger.java:154] tagging file ./gov/nist/javax/sip/header/ims/PVisitedNetworkIDList.java 
INFO d.d.t.SimpleTagger [SimpleTagger.java:154] tagging file ./gov/nist/javax/sip/header/ims/PAssertedServiceHeader.java 
INFO d.d.t.SimpleTagger [SimpleTagger.java:154] tagging file ./gov/nist/javax/sip/header/ims/PAssociatedURIList.java 
INFO d.d.t.SimpleTagger [SimpleTagger.java:154] tagging file ./gov/nist/javax/sip/header/ims/ServiceRoute.java 
INFO d.d.t.SimpleTagger [SimpleTagger.java:154] tagging file ./gov/nist/javax/sip/header/ims/PChargingFunctionAddresses.java 
INFO d.d.t.SimpleTagger [SimpleTagger.java:154] tagging file ./gov/nist/javax/sip/header/ims/PVisitedNetworkID.java 
